ID,Countries,Announcement Date,Monetary Value as Given by Source
USH1,United States,2022-02-27,54000000
USH2,United States,2022-03-15,30000000
USH3,United States,2022-03-31,178354690
USH4,United States,2022-05-10,2000000
USH10,United States,2022-09-30,35000000
USH11,United States,2022-12-06,126300000
USH12,United States,2022-12-06,2470000000
USM1,United States,2022-03-15,9025000000
USM1,United States,2022-02-25,350000000
USM1,United States,2022-03-12,200000000
USM1,United States,2022-03-16,800000000
USM1,United States,2022-03-16,800000000
USM1,United States,2022-04-05,100000000
USM1,United States,2022-04-13,800000000
USM1,United States,2022-05-06,150000000
USM1,United States,2022-05-19,100000000
USM1,United States,2022-06-01,700000000
USM1,United States,2022-06-15,350000000
USM1,United States,2022-06-23,450000000
USM1,United States,2022-07-01,50000000
USM1,United States,2022-07-09,400000000
USM1,United States,2022-07-22,175000000
USM1,United States,2022-08-01,550000000
USM1,United States,2022-08-08,1000000000
USM1,United States,2022-08-19,775000000
USM1,United States,2022-09-08,675000000
USM1,United States,2022-09-15,600000000
USM2,United States,2022-04-25,1547000000
USM2,United States,2022-04-25,322000000
USM2,United States,2022-05-10,1225000000
USM3,United States,2022-04-01,6300000000
USM3,United States,2022-04-01,300000000
USM3,United States,2022-05-10,650000000
USM3,United States,2022-07-01,770000000
USM3,United States,2022-07-22,95000000
USM3,United States,2022-08-24,2980000000
USM3,United States,2022-09-28,1100000000
USM3,United States,2022-11-04,400000000
USM7,United States,2022-09-30,3700000000
USM7,United States,2022-10-04,625000000
USM7,United States,2022-10-14,725000000
USM7,United States,2022-10-28,275000000
USM7,United States,2022-11-10,400000000
USM7,United States,2022-11-10,400000000
USM7,United States,2022-11-23,400000000
USM7,United States,2022-12-09,275000000
USM7,United States,2022-12-21,1000000000
USM8,United States,2022-12-06,10800000000
USM8,United States,2023-01-06,2850000000
USM8,United States,2023-01-19,2500000000
USM8,United States,2023-02-03,425000000
USM8,United States,2023-02-20,460000000
USM8,United States,2023-03-03,400000000
USM8,United States,2023-03-20,350000000
USM8,United States,2023-04-04,500000000
USM8,United States,2023-04-19,325000000
USM8,United States,2023-05-03,300000000
USM8,United States,2023-05-21,375000000
USM8,United States,2023-05-31,300000000
USM8,United States,2023-06-13,325000000
USM8,United States,2023-06-27,500000000
USM8,United States,2023-07-07,800000000
USM9,United States,2022-09-30,3000000000
USM10,United States,2022-12-06,9000000000
USM10,United States,2022-12-21,850000000
USM10,United States,2023-01-25,400000000
USM10,United States,2023-02-03,1750000000
USM10,United States,2023-02-24,2000000000
USM10,United States,2023-04-04,2100000000
USM10,United States,2023-05-09,1200000000
USM10,United States,2023-07-19,1300000000
USM11,United States,2022-12-06,3183000000
USF1,United States,2022-03-15,1000000000
USF2,United States,2022-05-10,7500000000
USF3,United States,2022-09-30,4500000000
USF4,United States,2022-12-06,13370000000
