ID,Countries,Type of Aid General
USH1,United States,Humanitarian
USH2,United States,Humanitarian
USH3,United States,Humanitarian
USH4,United States,Humanitarian
USH10,United States,Humanitarian
USH11,United States,Humanitarian
USH12,United States,Humanitarian
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM1,United States,Military
USM2,United States,Military
USM2,United States,Military
USM2,United States,Military
USM3,United States,Military
USM3,United States,Military
USM3,United States,Military
USM3,United States,Military
USM3,United States,Military
USM3,United States,Military
USM3,United States,Military
USM3,United States,Military
USM7,United States,Military
USM7,United States,Military
USM7,United States,Military
USM7,United States,Military
USM7,United States,Military
USM7,United States,Military
USM7,United States,Military
USM7,United States,Military
USM7,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM8,United States,Military
USM9,United States,Military
USM10,United States,Military
USM10,United States,Military
USM10,United States,Military
USM10,United States,Military
USM10,United States,Military
USM10,United States,Military
USM10,United States,Military
USM10,United States,Military
USM11,United States,Military
USF1,United States,Financial
USF2,United States,Financial
USF3,United States,Financial
USF4,United States,Financial
